Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC,Doza_Adult,Doza_Copil,Simptome_combatute
ABFEN 200 mg/5 ml,IBUPROFENUM,SUSP. ORALA,200mg/5ml,ABBOTT SCANDINAVIA AB - SUEDIA,"Cutie cu 1 flac. PET x 100 ml susp. orala + 1 seringa pt. administrare orala de 5 ml cu cilindru din PP si un piston PEID cu gradatie de 0.25 ml pana la 5 ml - 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-6 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ABFEN 200 mg/5 ml,IBUPROFENUM,SUSP. ORALA,200mg/5ml,ABBOTT SCANDINAVIA AB - SUEDIA,"Cutie cu 1 flac. PET x 150 ml susp. orala + 1 seringa pt. administrare orala de 5 ml cu cilindru din PP si un piston PEID cu gradatie de 0.25 ml pana la 5 ml - 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-6 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ABFEN 200 mg/5 ml,IBUPROFENUM,SUSP. ORALA,200mg/5ml,ABBOTT SCANDINAVIA AB - SUEDIA,"Cutie cu 1 flac. PET x 200 ml susp. orala + 1 seringa pt. administrare orala de 5 ml cu cilindru din PP si un piston PEID cu gradatie de 0.25 ml pana la 5 ml - 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-6 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ACATALERIC 10 mg,LORATADINUM,COMPR.,10mg,COSMEDICA SP.Z.O.O. - POLONIA,"Cutie cu 1 blist. din folie din Al si film transparent din PVC-PVDC x 7 compr.
- 3 ani",OTC,R06AX13,10 mg once daily,5 mg once daily for children 2-12 years,Allergy symptoms: sneezing.runny nose.itchy/watery eyes
ACC 100 mg,ACETYLCYSTEINUM,COMPR. EFF.,100mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu tuburi din PP cu dop din PE x
20 compr. eff. - 2 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 100 mg,ACETYLCYSTEINUM,COMPR. EFF.,100mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 20 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 100 mg,ACETYLCYSTEINUM,COMPR. EFF.,100mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 40 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 100 mg,ACETYLCYSTEINUM,COMPR. EFF.,100mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 50 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 100 mg,ACETYLCYSTEINUM,COMPR. EFF.,100mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 80 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 100 mg,ACETYLCYSTEINUM,COMPR. EFF.,100mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 100 compr. eff. -
3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
