cod_999,boala_denumire,simptome,medicamentatie,medic_specialist,Urgency,probabilitate
6,Alte infectii intestinale bacteriene,GRETURI.DIAREE,"MOTILIUM.NO-SPA.TASECTAN",GASTROENTEROLOGIE,NON-URGENT,9/10
8,Alte intoxicatii alimentare de origine bacteriana,GRETURI.DIAREE.VARSATURI,"MOTILIUM.NO-SPA.TASECTAN",GASTROENTEROLOGIE,NON-URGENT,8/10
13,Diareea si gastroenterita (probabil infectioasa),GRETURI.DIAREE.VARSATURI.FEBRA,"MOTILIUM.NO-SPA.TASECTAN",GASTROENTEROLOGIE,NON-URGENT,8/10
36,GONOREE,"SCURGERI DE CULOARE ALBA(GENITALE).DURERE/ARSURA LA URINARE",URAKTIV,DERMATOVENEROLOGIE,NON-URGENT,6/10
41,Alte boli prin Chlamidia,DURERE IN TIMPUL ACULUI SEXUAL.Secretie vaginala crescuta.DURERE/ARSURA LA URINARE,URAKTIV,DERMATOVENEROLOGIE,NON-URGENT,6/10
49,Varicela,FEBRA.DURERE DE CAP.PETE ROSII/UMFLATURI PE PIELE,-,MEDICINA DE FAMILIE,NON-URGENT,5/10
50,Zona (herpes zoster),FEBRA.DURERE DE CAP.PETE ROSII/UMFLATURI PE TRAIECTUL UNUI NERV,-,MEDICINA DE FAMILIE,NON-URGENT,6/10
56,HEPATOCITOLIZA,OBOSEALA CRONICA.ASTENIE.FATICABILITATE,LAGOSA,GASTROENTEROLOGIE,NON-URGENT,4/10
66,Candidiaza,DURERE IN TIMPUL ACULUI SEXUAL.Secretie vaginala crescuta.MANCARIME.OBOSEALA,-,GINECOLOGIE,NON-URGENT,6/10
203,Anemie,PALOARE.OBOSEALA.LIPSA DE AER.-,MEDICINA DE FAMILIE,SEMI-URGENT,5/10
219,Alte anomalii de coagulare,TIMP DE SANGERARE PRELUNGIT,-,MEDICINA DE FAMILIE,SEMI-URGENT,4/10
245,Diabet zaharat fara precizare,"URINARE FRECVENTA.SANZATIE DE SETE PRELUNGITA.URINARE NOCTURNA",-,DIABETOLOGIE,SEMI-URGENT,5/10
321,Episod depresiv,INSOMNIE.TULBURARE DE SOMN.DURERI DE CAP.DURERI DE PIEPT.RELAXIREM,PSIHIATRIE,NON-URGENT,8/10
325,Tulburari anxioase,"IRITABILITATE.NERABDARE.DIFICULTATI DE CONCENTRARE.OBOSEALA",RELAXIREM,PSIHIATRIE,NON-URGENT,8/10
331,Tulburari de alimentatie,LIPSA POFTEI DE MANCARE.SENZATIE DE PLIN.-,GASTROENTEROLOGIE,SEMI-URGENT,6/10
373,Epilepsia,EPISOADE REPETATE DE CONVULSII TONIC-CLONICE,-,NEUROLOGIE,URGENTA,9/10
374,Stare de rau epileptic,DURERI DE CAP.LIPSA DE AER POST CONVULSIE.-,NEUROLOGIE,URGENTA,7/10
375,sindroame de algii cefalice,DURERE DE CAP DE INTENSITATE MARE,IBUPROFEN / PARACETAMOL,NEUROLOGIE,SEMI-URGENT,9/10
453,Hipertensiunea esentiala (primara),TENSIUNE ARTERIALA PESTE 140/80 FARA ALTE PROBLEME DE SANATATE,-,MEDICINA DE FAMILIE,NON-URGENT,8/10
458,Angina pectorala,DURERE IN PIEPT FARA ALTE MODIFICARII IN ANALIZE SAU EKG,-,CARDIOLOGIE,URGENTA,6/10
459,Infarct miocardic acut,DURERE IN PIEPT CE RADIAZA IN MANA STANGA SI IN SPATE.LIPSA DE AER.-,CARDIOLOGIE,URGENTA,5/10
480,Accident cerebral nespecificat ca hemoragie sau infarct,DIFICULTATI DE VORBIRE.LIPSA PUTERI IN UNA DINTRE MEMBRE.ASIMETRIE IN ZAMBET,-,NEUROLOGIE /URGENTA,URGENTA,8/10
490,tromboza venoasa profunda,DURERE PUTERNICA DE GAMBA.UMFLAREA GAMBEI,-,URGENTA,URGENTA,4/10
492,Hemoroizi,SCURGERI DE SANGE DIN ZONA ANALA,CICATRIDINA UNGUENT LOCAL,CHIRURGHIE GENERALA,NON-URGENT,8/10
495,Hipotensiunea,TENSIUNE ARTERIALA SUB 110/70,-,MEDICINA DE FAMILIE/URGENTA,SEMI-URGENT,7/10
498,Rino-faringita acuta,FEBRA.DURERE DE CAP.DURERE DE GAT.DIFICULTATE DE A RESPIRA PROFUND.PARACETAMOL.IBUPROFEN.BISEPTOL,MEDICINA DE FAMILIE,NON-URGENT,7/10
500,faringita si amigdalita acuta,"DURERI LA INGHITIRE.FEBRA.DURERI DE CAP.DURERI DE GAT",PARACETAMOL.IBUPROFEN.BISEPTOL,MEDICINA DE FAMILIE,NON-URGENT,6/10
503,infectii acute ale cailor respiratorii superioare cu localizari multiple si neprecizate,FEBRA.FRISOANE.TUSE.DURERI DE CAP.DURERI DE GAT.PARACETAMOL.IBUPROFEN.BISEPTOL,MEDICINA DE FAMILIE,NON-URGENT,9/10
505,"gripa, cu virus neidentificat",FEBRA.TUSE.DURERI DE CAP.DURERI DE GAT.DURERI MUSCULARE .OBOSEALA,PARACETAMOL.IBUPROFEN.BISEPTOL,MEDICINA DE FAMILIE,NON-URGENT,8/10
506,"pneumonia virala, neclasata la alte locuri",FEBRA.FRISOANE.TUSE.DURERI DE CAP.DURERI DE GAT.DURERE DE SPATE,PARACETAMOL.IBUPROFEN.BISEPTOL,MEDICINA DE FAMILIE,SEMI-URGENT,5/10
527,Astmul,"TUSE SEACA.RESPIRATIE SUIERATOARE.LIPSA DE AER",-,MEDICINA DE FAMILIE,SEMI-URGENT,8/10
539,Pneumothorax,DURERE TORACIE BRUSCA.LIPSA ACUTA DE AER.SENSATIE DE ASFIXIE.-,URGENTA,URGENT,2/10
560,Dispepsia,GRETURI.VARSATURI.DURERI DE STOMAC."MOTILIUM.NO-SPA.TASECTAN",GASTROENTEROLOGIE,NON-URGENT,8/10
562,Apendicita acuta,FEBRA.DURERE ABDOMINALA IN PARTEA DREAPTA JOS .,NO-SPA,CHIRURGHIE GENERALA,URGENT,9/10
573,Sindromul intestinului iritabil si alte tulburari functionale ale intestinului,DURERI ABDOMINALE.DIAREE,"MOTILIUM.NO-SPA.TASECTAN",GASTROENTEROLOGIE,NON-URGENT,07/10
585,Colica biliara,DURERE ABDOMINALA IN PARTEA DREAPTA SUS.GRETURI.VARSATURI.FEBRA .,COLEBIL.NO-SPA.MOTILIUM,GASTROENTEROLOGIE,SEMI-URGENT,7/10
587,Pancreatita acuta,DURERE ABDOMINALA IN PARTEA STANGA SUS,-,GASTROENTEROLOGIE,URGENT,3/10
599,Dermita seboreica,ROSEATA A PIELII.MANCARIME.COJIRE.-,DERMATOVENEROLOGIE,NON-URGENT,5/10
618,Anceea rozacee,PUNCTE ROSII PE OBRAJI.COSURI PRILE CU LICHID.-,DERMATOVENEROLOGIE,NON-URGENT,4/10
869,Rezultate anormale ale examenelor de sange  la aparatul circulator,REZULTATE ANORMALE ALE ANALIZELOR PENTRU INIMA,-,CARDIOLOGIE,NON-URGENT,-
870,Rezultate anormale ale examenelor de sange  la aparatul digestiv si la abdomen,"REZULTATE ANORMALE ALE ANALIZELOR PENTRU STOMAC.FICAT.PANCREAS ",-,GASTROENTEROLOGIE,NON-URGENT,-
